Programming Language,Dec 2023,Dec 2022,Ratings(%),Change(%)
Python,1,1,13.86,-2.80
C,2,2,11.44,-5.12
C++,3,3,10.01,-1.92
Java,4,4,7.99,-3.83
C#,5,5,7.30,+2.38
JavaScript,6,7,2.90,-0.30
PHP,7,10,2.01,+0.39
Visual Basic,8,6,1.82,-2.12
SQL,9,8,1.61,-0.61
Assembly Language,10,9,1.11,-0.76
Scratch,11,21,1.08,+0.41
Fortran,12,26,1.07,+0.64
Go,13,12,1.03,-0.12
MATLAB,14,14,0.93,-0.02
Kotlin,15,23,0.92,+0.34
Delphi/Object Pascal,16,16,0.92,+0.07
Swift,17,15,0.82,-0.09
Rust,18,20,0.80,+0.12
Ruby,19,17,0.77,-0.04
R,20,11,0.72,-0.53
