Programming Language,Feb 2023,Feb 2022,Ratings(%),Change(%)
Python,1,1,15.49,+0.16
C,2,2,15.39,+1.31
C++,3,4,13.94,+5.93
Java,4,3,13.21,+1.07
C#,5,5,6.38,+1.01
Visual Basic,6,6,4.14,-1.09
JavaScript,7,7,2.52,+0.70
SQL,8,10,2.12,+0.58
Assembly Langauge,9,9,1.38,-0.21
PHP,10,8,1.29,-0.49
Go,11,11,1.11,-0.12
R,12,13,1.08,-0.04
MATLAB,13,14,0.99,-0.04
Delphi/Object Pascal,14,15,0.95,+0.05
Swift,15,12,0.93,-0.25
Ruby,16,16,0.83,-0.06
Perl,17,18,0.89,-0.01
Scratch,18,22,0.86,+0.13
Classic Visual Basic,19,17,0.74,-0.09
Rust,20,24,0.70,+0.16
