Programming Language,Jun 2025,Jun 2024,Ratings(%),Change(%)
Python,1,1,25.87,+10.48
C++,2,2,10.68,+0.65
C,3,3,9.47,+0.24
Java,4,4,8.84,+0.44
C#,5,5,4.69,-1.96
JavaScript,6,6,3.21,-0.11
Go,7,7,2.28,+0.35
Visual Basic,8,9,2.20,+0.54
Delphi/Object Pascal,9,11,2.15,+0.62
Fotran,10,10,1.86,+0.33
Ada,11,25,1.70,+0.91
SQL,12,8,1.55,-0.21
Perl,13,27,1.47,+0.77
R,14,21,1.39,+0.43
PHP,15,15,1.25,+0.03
Scratch,16,16,1.19,+0.02
MATLAB,17,14,1.13,-0.13
Rust,18,17,0.97,-0.20
Assembly Language,19,13,0.91,-0.35
COBOL,20,20,0.89,-0.08
